,label,filename
0,a,a_e493144a-4680-4226-87ed-ef9c750a51b8.flac
1,aa,aa_50eff694-4057-4629-8fcd-b836b2ac7a53.flac
2,i,i_aaa2c75b-205b-47ed-8c5b-3ef0949bb056.flac
3,ii,ii_980286b2-9301-4a9c-8457-3535cdf122ea.flac
4,u,u_5de0684a-fb1a-48e3-bd11-2d05a8293973.flac
5,uu,uu_ebd10cc9-8943-45ac-8259-8cd323ac4dd7.flac
6,e,e_a603164e-4e2d-4764-a164-94d8ddb7b93a.flac
7,ai,ai_dbd82feb-b49f-4957-8cdc-b32add9fabe9.flac
8,o,o_f0ca2837-241d-4fa4-8f71-a7a4c40b5c57.flac
9,au,au_b1582937-89b8-412a-a603-6872239c4f8b.flac
10,am,am_4a7cddeb-56d0-47eb-b0af-ea7c457c6779.flac
11,ah,ah_90e42e16-de4c-4a4a-86a3-2d39f1ca3a76.flac
12,ah,ah_61a8cf73-4235-4f8e-9727-5121da57532b.flac
13,ka,ka_ec7d1285-3686-4df9-9a63-d8e3b4807840.flac
14,kha,kha_104b0c5f-3ac9-4f1b-aee5-47d5fcd1c4ab.flac
15,a,a_2797b239-3a51-4aff-bc7e-5cc72147fafa.flac
16,aa,aa_e4bb1a0c-d185-4a1c-8140-db47cd9bef13.flac
17,u,u_a1722e34-dec2-4a9b-b273-829be555b4b7.flac
18,a,a_79b87dfe-e81e-478d-b195-279f5b4e9c22.flac
19,aa,aa_46686da4-55c9-48f3-ad95-fdabbf036425.flac
20,i,i_9191cd34-4183-4360-a0ba-2a4009b8b12f.flac
21,ii,ii_3500e7e7-e288-42eb-b604-8405f5a0b7ca.flac
22,u,u_3c54c086-528c-43e7-b873-fb63fafb89d5.flac
23,uu,uu_36bc6271-2405-4012-a69d-3ab48364145f.flac
24,e,e_75d3c7c4-60b6-42db-90f9-f484c3cbbbc5.flac
25,ai,ai_21478ef6-0af2-405a-b558-bd9e1d933c93.flac
26,o,o_c06bbc8f-ff66-475e-8bd5-729fe0f3c37b.flac
27,au,au_fb079988-78e1-4b8d-8c09-bb6c565e070c.flac
28,am,am_ea3eaff1-a997-4304-a0fd-528c5536a51b.flac
29,ah,ah_bc1fffc1-4972-4146-9ff5-7f159f70e74b.flac
30,a,a_c637074f-e56f-4a38-b8e0-75565bf0d495.flac
31,a,a_5048606c-57fb-4557-8278-3227e75083db.flac
32,a,a_30c687b4-9c27-443a-91c6-44fb126ace89.flac
33,a,a_7f725d13-35e6-4f83-9edf-3b7f751cbd34.flac
34,a,a_3e2f15ee-21fa-4968-809d-9fb5ed352fd3.flac
35,a,a_542bcbfc-bf98-49c8-b344-7ae03eb53d34.flac
36,a,a_f9b04c61-60a8-4143-a865-c40682c70f41.flac
37,a,a_a91c260d-99b4-4c0f-a510-4515577b1a3e.flac
38,aa,aa_a05b3805-8eeb-4880-9ae3-32d40fb8a863.flac
39,i,i_bfcf549a-1074-46b8-844e-503329279a9d.flac
40,a,a_dc5276d8-2c5f-4319-a101-464a80bc1dfa.flac
41,aa,aa_b56fca7d-afe0-4047-a1a7-5549893e4d10.flac
42,i,i_bd4798f3-03ec-47e9-a8ec-c2472602054b.flac
43,i,i_b9aece12-6975-4d95-8b00-c7ba217b04d7.flac
44,ii,ii_63ba3ed1-e8b7-4042-96db-20dd4b25cda5.flac
45,u,u_f16eaf16-d2fc-4f39-b3a5-d15c68d94da5.flac
46,uu,uu_49a06d50-c526-44ba-bee4-7a30f814c88e.flac
47,e,e_173f3b39-dd4b-44b4-b0cd-446fb302b0bb.flac
48,ai,ai_23ab7f9a-d842-4b15-8cdd-5caabeb383db.flac
49,o,o_1471f48d-5cf4-40d1-9c98-4a78012aeb29.flac
50,au,au_be808b82-210a-4a33-badf-b1d321e8abd5.flac
51,am,am_f450206a-ecbd-4d8d-9ab7-d29966bc33a0.flac
52,ah,ah_c99d382f-08be-4b60-9a9a-5b272279d68e.flac
53,ka,ka_f2ebce2e-760f-44cb-8778-1a3a26a6cd89.flac
54,kha,kha_c85cfde8-c4df-4762-ac05-72e6beff7b15.flac
55,ga,ga_14b773b3-a412-440c-b4d8-fb5999fc8444.flac
56,gha,gha_10ce18e6-385f-4032-ad9e-7d75c8758a19.flac
57,nga,nga_07277cf2-fdcb-43bf-9e50-a1389099dd5d.flac
58,cha,cha_118ae091-6bc4-41ef-81fd-ae80c9c4400d.flac
59,chha,chha_556d9b0e-79b4-4582-afa9-dbff39705b97.flac
60,ja,ja_45012ace-5ce2-4fc5-9ad1-cfc5dfd883ad.flac
61,jha,jha_e8aa707f-41c7-4836-8e94-ea1e9b133a7a.flac
62,yan,yan_1e90a86f-06b2-4a2c-a11e-4bb324be7db7.flac
63,toa,toa_d72a51ae-ed80-4591-8b0f-efa19687761e.flac
64,thoa,thoa_159853e7-f75b-43ff-893a-fa1dde3aaba4.flac
65,doa,doa_ab255e5b-ee06-4f04-b7b8-38c8ef623d41.flac
66,dhoa,dhoa_c23d6487-597f-42bd-b728-888aa8ea644c.flac
67,ndoa,ndoa_ef13518f-718c-4009-929f-f28a324f2cb7.flac
68,ndoa,ndoa_e0ca762b-9b24-4de6-a782-d804a9563ed4.flac
69,ndoa,ndoa_cf63e503-af66-41b6-a079-d9a94fe19bae.flac
70,ta,ta_abf989f9-c4ee-4b42-955c-9bcacc26071b.flac
71,tha,tha_51a005d3-f1f1-42e3-a9cb-96afe1390e96.flac
72,da,da_ae6f52fc-dfec-48ab-bdb8-bc1215078b4b.flac
73,dha,dha_2c4a157e-793a-4f1a-a4a1-9c78afbe3c10.flac
74,na,na_5b005943-5b68-4e80-a7e6-fc9f96340655.flac
75,pa,pa_b0711ad2-4feb-4b18-83e8-e96b90f1db29.flac
76,fa,fa_e5e73b60-277b-4768-ba2c-68d30070ce07.flac
77,ba,ba_ffe01b27-2d40-4b13-aefc-b9348b3a474d.flac
78,bha,bha_4d0edef4-9ce2-487a-b5ac-8afaf85e5d2b.flac
79,ma,ma_872d54f2-7392-4876-9197-27259a911bde.flac
80,ya,ya_cf1986c9-b895-4fa5-a823-0a399b130aa7.flac
81,ra,ra_fa1dac10-da5c-452e-8c73-fe02da1460b2.flac
82,la,la_84dba959-be49-4d77-9e89-97e9acc6f9f2.flac
83,wa,wa_9bc874bb-e898-4542-8dbc-802061570636.flac
84,sa,sa_8e2c03e7-0ce3-4b41-8e1a-49216af17f1a.flac
85,sha,sha_9e33dbbc-8a6d-46e1-98db-559fd5428d46.flac
86,sha,sha_47855e64-0ec2-4dea-9a03-2878d3508c73.flac
87,sha,sha_ddd34190-5e68-4a28-8043-91d012d1ec35.flac
88,shaa,shaa_bc6a38b2-98c7-439d-9d5d-f8216671cff7.flac
89,ha,ha_938ec680-dcd3-4892-90fd-fa1406083944.flac
90,chya,chya_b0c7f68e-f080-4929-b41e-c30256005524.flac
91,tra,tra_3b90c68b-b366-4c02-a350-50f90ee25bcb.flac
92,gya,gya_fa5acea6-1c89-4f02-831e-d4b9426be243.flac
93,ka,ka_10731c53-dd9c-45df-a035-154eeccd4aaf.flac
94,ka_aa,ka_aa_0a8abf61-ad68-47ee-9c94-0daeafcc9545.flac
95,ka_i,ka_i_1d9ed322-bf09-4fe3-8733-80e929428897.flac
96,ka_ii,ka_ii_054505bf-5cfb-4711-99ea-9b04811ca3e9.flac
97,ka_u,ka_u_0772bb8c-55f4-4764-bc18-83d1c40be740.flac
98,ka_uu,ka_uu_7dff4112-664b-491d-b1f1-672bd177dcd2.flac
99,ka_e,ka_e_2170a3a2-aa89-4e38-8ed2-5994ba12bc71.flac
100,ka_ai,ka_ai_fd714e36-1fcf-4663-9e0c-776d8b9e5e16.flac
101,ka_o,ka_o_88fab182-a625-42a8-8c5e-0b1a734ebdcf.flac
102,ka_au,ka_au_41fb9707-17b3-42c1-88dc-ecb8b25cbef4.flac
103,ka_am,ka_am_86ba580b-b6e0-4a57-9be9-0c486901a412.flac
104,ka_ah,ka_ah_10036135-b5db-4576-b62d-ce072e051ad0.flac
105,kha,kha_a1211213-9504-45d0-86f1-1bb4693181c1.flac
106,kha_aa,kha_aa_b206ebcc-237f-452a-85e1-53c579afaea6.flac
107,kha_i,kha_i_88a23bfc-2175-46af-ad14-c27eedb18c2f.flac
108,kha_ii,kha_ii_c5b344e4-2d7c-4985-a9c5-cdfc52cac0c4.flac
109,kha_u,kha_u_d34d3053-8c47-4cd3-a7bb-19322ff556d4.flac
110,kha_uu,kha_uu_025e3ecf-9cff-495e-8c58-b93044106a6e.flac
111,kha_e,kha_e_32247be5-7107-4782-b670-445203e4fded.flac
112,kha_ai,kha_ai_a9e8b2d5-c9dd-4646-a572-1ee3f879f7cb.flac
113,kha_o,kha_o_f34ff388-3f52-4842-b341-13cb03ccabbf.flac
114,kha_au,kha_au_4984528a-6d5f-49f0-b106-d15c7201047c.flac
115,kha_am,kha_am_69b24c5d-720f-46bb-8b6b-567d2d639c0d.flac
116,kha_ah,kha_ah_13068e0e-24dc-406a-8e2d-eb711ee6c76d.flac
117,ga,ga_ddf8f20d-307a-427c-a9bb-cfd79b21a4e5.flac
118,ga_aa,ga_aa_63073b7f-0cc7-4731-8515-a6889bd012f1.flac
119,ga_i,ga_i_f838ba30-9c9e-4a8f-8f8d-aad7a288f3e5.flac
120,ga_ii,ga_ii_76ae0a07-7c5b-4a85-91e8-463dd5528fa2.flac
121,ga_u,ga_u_d1ddb500-2f36-4a89-8647-5b3ba6f8dd82.flac
122,ga_uu,ga_uu_ee85c75a-daa3-48a1-b6b3-0670d14c4f8a.flac
123,ga_e,ga_e_3aaf8b15-ac0a-4733-b90c-42c2ef77d1d5.flac
124,ga_ai,ga_ai_7a58d9a5-ec3e-4bc6-94b5-0ad5a3781cee.flac
125,ga_o,ga_o_862abf17-8580-40b6-84dd-67dfd840b464.flac
126,ga_au,ga_au_a8a0ea80-1ad1-4b7b-bcee-b8da99cf9108.flac
127,ga_am,ga_am_64649758-fa7b-4fe2-9ef7-fcbaf78047f7.flac
128,ga_ah,ga_ah_e0e03ed9-38b4-4219-9b30-bb741f1774a8.flac
129,gha,gha_da744df3-6cd0-4826-9107-b93c772ceaa2.flac
130,gha_aa,gha_aa_4e71570a-9df5-41a1-956e-713d7b8cf396.flac
131,gha_i,gha_i_456c6a2b-d5a1-4c81-9316-3722705fa6c2.flac
132,gha_ii,gha_ii_7bdd9ab4-0cb1-4a28-80b9-97549ce0c653.flac
133,gha_u,gha_u_8d11ea74-80a7-46c8-abb0-c6118267eae2.flac
134,gha_uu,gha_uu_5ef112b9-b43a-4775-82a5-1ae7b121a869.flac
135,gha_e,gha_e_4459ea31-bf51-4fe5-a535-0a1177729cd3.flac
136,gha_ai,gha_ai_dc9a61b7-b30e-4ef1-8df6-5de4645b6858.flac
137,gha_o,gha_o_fecf0c94-1df2-46ea-ac71-30707e8a47bd.flac
138,gha_au,gha_au_984ba9e2-5267-4bb5-94b7-965762507a79.flac
139,gha_am,gha_am_87bd4e0d-77c7-42ad-a533-04d223c2fb10.flac
140,gha_ah,gha_ah_de1bb9b4-8e1f-4407-a219-16edbb20f904.flac
141,nga,nga_b6959c03-be62-41fc-8e6b-c35cc654850c.flac
142,nga_aa,nga_aa_bcc20203-39be-4eae-a5ae-c0e28cecd05e.flac
143,nga_i,nga_i_7cfbe064-612a-407a-9784-129b419533c6.flac
144,nga_ii,nga_ii_926f9dc6-0775-4964-bcbc-43f081004726.flac
145,nga_u,nga_u_8c2d481e-6bb2-43ef-8681-e7d330d20020.flac
146,nga_uu,nga_uu_a84da9b5-4922-4d45-8dba-a4d7c487cbf5.flac
147,nga_e,nga_e_289496ce-6c3e-4142-afaf-55e9834dfd76.flac
148,nga_ai,nga_ai_ba6a86b2-8554-4ff3-a8a2-89c749364baa.flac
149,nga_o,nga_o_c783dbd5-63f2-4cb3-831f-256a4aeb9ceb.flac
150,nga_au,nga_au_da6d7427-050f-4f27-8bde-78f7923776d6.flac
151,nga_am,nga_am_7e8e23df-97e1-4ca4-b23f-e54844a8c6cb.flac
152,nga_ah,nga_ah_918f37e4-5bed-40e4-ba65-bae9843cbaf1.flac
153,cha,cha_720cc38d-9ce4-4c4e-9ca2-e3a14ad2caea.flac
154,cha_aa,cha_aa_7cac4ed2-95ff-44f5-b07f-01665c0bc0c9.flac
155,cha_i,cha_i_ea795911-34ee-4941-8c64-a14dfe17800f.flac
156,cha_ii,cha_ii_507b72d9-66ea-4118-a538-4f05f561b942.flac
157,cha_u,cha_u_1ee3e7b9-2033-4544-8cbf-655692707437.flac
158,cha_uu,cha_uu_b2cfd73c-cb4e-4799-8a39-6f8d73da162a.flac
159,cha_e,cha_e_4cefb737-a1b2-46d3-beea-beb15120af5a.flac
160,cha_ai,cha_ai_af3278ad-c0d0-46cb-b729-83bed9f59846.flac
161,cha_o,cha_o_6ff2ab08-a9cd-406b-b899-ee71d1481e1a.flac
162,cha_au,cha_au_3072ec0c-1fb8-418a-a2ef-2698e432ded8.flac
163,cha_am,cha_am_9715b043-404f-4678-8662-9d03bb09a416.flac
164,cha_ah,cha_ah_29dd43cd-2c48-43d6-8be3-307cae23d081.flac
165,a,a_dc4935db-efb9-4e03-a6c9-4dbff5eab0b0.flac
166,i,i_bb652185-96eb-4d20-afb3-034f45068c12.flac
167,a,a_12cb3422-88fa-4855-a0e3-ef85845813b3.flac
168,aa,aa_a0102e75-97a3-4e5c-b79a-8b9b2206de25.flac
169,aa,aa_eba593b7-e7ef-4e6b-9705-83f2cf735ca4.flac
170,aa,aa_72960d83-69da-44f7-8135-b814b4c8e40d.flac
171,i,i_cff7c7cb-87cb-488b-96ca-2f19340587a9.flac
172,i,i_7c05871e-0d9b-4433-a0e3-d91d98a7d6a8.flac
173,ii,ii_932270b2-8c8b-45b9-a76f-8b541826f3e3.flac
174,ii,ii_205ab6bd-0f15-4f79-8ffd-3f7580c1d34a.flac
175,ii,ii_e9263241-ae23-4a87-b513-71bef19353ab.flac
176,chha,chha_3c976820-6d81-4a12-8668-829da2c3d305.flac
177,chha_aa,chha_aa_d57dfb60-75fb-4f56-843d-67baa4503663.flac
178,chha_i,chha_i_0a77fd08-bc93-4659-bbc7-f009407c3e64.flac
179,chha_ii,chha_ii_c06e7904-3215-41ba-a331-a9a19e6c7700.flac
180,chha_u,chha_u_c543b1f8-081e-42df-9f60-fd21602bcdd0.flac
181,chha_uu,chha_uu_03555876-426c-41a5-83a8-c72ead19be92.flac
182,chha_e,chha_e_266c66e7-b6d9-4eb4-9c43-e564de782647.flac
183,chha_ai,chha_ai_eca587a9-d9fe-4cbd-aec4-5554237e7172.flac
184,chha_o,chha_o_a5e2690e-41c6-4c0e-96d6-1045726831f1.flac
185,chha_au,chha_au_9da0530c-19a0-4715-91b8-95c4adfdbb22.flac
186,chha_am,chha_am_5ba0ace4-4247-4f42-bcbb-ee1b75d97c12.flac
187,chha_ah,chha_ah_5ec81187-8bce-4271-bb8e-d5ca174d8051.flac
188,ja,ja_e9f1e299-7eeb-4d46-9ccc-d7d101f69e1f.flac
189,ja_aa,ja_aa_65567f11-93d1-408a-a004-96b582048924.flac
190,ja_i,ja_i_1ece16d5-c66d-4652-adbb-df550d838ed8.flac
191,ja_ii,ja_ii_7bccbfdf-c400-486e-850c-6a986ef48354.flac
192,ja_u,ja_u_d3116b32-c3a3-4024-9ddc-d9093405ca87.flac
193,ja_uu,ja_uu_117fa4c2-ea9d-40f3-8e7e-df9a0314768f.flac
194,ja_e,ja_e_11abe9c3-11a1-4ed4-8b74-bbe4f2e1ce8b.flac
195,ja_ai,ja_ai_2e44fa50-ba6a-4858-b314-d92f670ed593.flac
196,ja_o,ja_o_32977dc4-3692-4719-9f3f-06aa9f0deafe.flac
197,ja_au,ja_au_f2237d02-e480-43b5-9484-656f2db36b32.flac
198,ja_am,ja_am_3747661e-fb8a-44c2-90a4-8515d3c57bb7.flac
199,ja_ah,ja_ah_2a995932-e436-4239-8dd5-f875b603cff9.flac
200,a,a_fb0b29fb-ae7a-480d-a3bf-d9fbd15f3f54.flac
201,aa,aa_152646e1-3ebd-48d3-bf05-cc8e0a1b76fb.flac
202,i,i_ca55b57e-f713-48e3-8d7c-8c8818f03ef9.flac
203,i,i_12035759-f453-4f50-b349-f6a95ac59757.flac
204,ii,ii_65b06598-2662-40cd-a265-0d6c9077551a.flac
205,u,u_59b7cee9-26ca-458f-9246-7e65bda6ac17.flac
206,uu,uu_a652d438-0abf-48e7-93bd-7a1f5be7563e.flac
207,e,e_9a81cdb9-4009-4df0-b897-b9a35e8dd1c0.flac
208,ai,ai_7b31aaeb-0f6c-4fd2-bf43-b51f128f712e.flac
209,o,o_cfae99b5-6be4-4413-a757-c31547b4ce09.flac
210,au,au_b3747cec-7a83-4835-be78-116ed5a6f7ad.flac
211,am,am_87108f7f-d215-4431-9d6c-e7af94bd8823.flac
212,ah,ah_a9c108af-d022-4e60-9d2b-259ec87e2042.flac
213,ka,ka_89ec50dd-c097-4dd9-b0a3-35969a669d17.flac
214,kha,kha_3b5bfda3-62c7-4883-ac6b-ff53594373eb.flac
215,ga,ga_544bfc6f-1843-4670-a356-42779a0f8078.flac
216,gha,gha_2c4226bd-cea9-46e0-99b7-4e391edee5c3.flac
