,label,character
0,a,अ
1,aa,आ
2,i,इ
3,ii,ई
4,u,उ
5,uu,ऊ
6,e,ए
7,ai,ऐ
8,o,ओ
9,au,औ
10,am,अं
11,ah,अः
12,ka,क
13,ka_aa,का
14,ka_i,कि
15,ka_ii,की
16,ka_u,कु
17,ka_uu,कू
18,ka_e,के
19,ka_ai,कै
20,ka_o,को
21,ka_au,कौ
22,ka_am,कं
23,ka_ah,कः
24,kha,ख
25,kha_aa,खा
26,kha_i,खि
27,kha_ii,खी
28,kha_u,खु
29,kha_uu,खू
30,kha_e,खे
31,kha_ai,खै
32,kha_o,खो
33,kha_au,खौ
34,kha_am,खं
35,kha_ah,खः
36,ga,ग
37,ga_aa,गा
38,ga_i,गि
39,ga_ii,गी
40,ga_u,गु
41,ga_uu,गू
42,ga_e,गे
43,ga_ai,गै
44,ga_o,गो
45,ga_au,गौ
46,ga_am,गं
47,ga_ah,गः
48,gha,घ
49,gha_aa,घा
50,gha_i,घि
51,gha_ii,घी
52,gha_u,घु
53,gha_uu,घू
54,gha_e,घे
55,gha_ai,घै
56,gha_o,घो
57,gha_au,घौ
58,gha_am,घं
59,gha_ah,घः
60,nga,ङ
61,nga_aa,ङा
62,nga_i,ङि
63,nga_ii,ङी
64,nga_u,ङु
65,nga_uu,ङू
66,nga_e,ङे
67,nga_ai,ङै
68,nga_o,ङो
69,nga_au,ङौ
70,nga_am,ङं
71,nga_ah,ङः
72,cha,च
73,cha_aa,चा
74,cha_i,चि
75,cha_ii,ची
76,cha_u,चु
77,cha_uu,चू
78,cha_e,चे
79,cha_ai,चै
80,cha_o,चो
81,cha_au,चौ
82,cha_am,चं
83,cha_ah,चः
84,chha,छ
85,chha_aa,छा
86,chha_i,छि
87,chha_ii,छी
88,chha_u,छु
89,chha_uu,छू
90,chha_e,छे
91,chha_ai,छै
92,chha_o,छो
93,chha_au,छौ
94,chha_am,छं
95,chha_ah,छः
96,ja,ज
97,ja_aa,जा
98,ja_i,जि
99,ja_ii,जी
100,ja_u,जु
101,ja_uu,जू
102,ja_e,जे
103,ja_ai,जै
104,ja_o,जो
105,ja_au,जौ
106,ja_am,जं
107,ja_ah,जः
108,jha,झ
109,jha_aa,झा
110,jha_i,झि
111,jha_ii,झी
112,jha_u,झु
113,jha_uu,झू
114,jha_e,झे
115,jha_ai,झै
116,jha_o,झो
117,jha_au,झौ
118,jha_am,झं
119,jha_ah,झः
120,yan,ञ
121,yan_aa,ञा
122,yan_i,ञि
123,yan_ii,ञी
124,yan_u,ञु
125,yan_uu,ञू
126,yan_e,ञे
127,yan_ai,ञै
128,yan_o,ञो
129,yan_au,ञौ
130,yan_am,ञं
131,yan_ah,ञः
132,toa,ट
133,toa_aa,टा
134,toa_i,टि
135,toa_ii,टी
136,toa_u,टु
137,toa_uu,टू
138,toa_e,टे
139,toa_ai,टै
140,toa_o,टो
141,toa_au,टौ
142,toa_am,टं
143,toa_ah,टः
144,thoa,ठ
145,thoa_aa,ठा
146,thoa_i,ठि
147,thoa_ii,ठी
148,thoa_u,ठु
149,thoa_uu,ठू
150,thoa_e,ठे
151,thoa_ai,ठै
152,thoa_o,ठो
153,thoa_au,ठौ
154,thoa_am,ठं
155,thoa_ah,ठः
156,doa,ड
157,doa_aa,डा
158,doa_i,डि
159,doa_ii,डी
160,doa_u,डु
161,doa_uu,डू
162,doa_e,डे
163,doa_ai,डै
164,doa_o,डो
165,doa_au,डौ
166,doa_am,डं
167,doa_ah,डः
168,dhoa,ढ
169,dhoa_aa,ढा
170,dhoa_i,ढि
171,dhoa_ii,ढी
172,dhoa_u,ढु
173,dhoa_uu,ढू
174,dhoa_e,ढे
175,dhoa_ai,ढै
176,dhoa_o,ढो
177,dhoa_au,ढौ
178,dhoa_am,ढं
179,dhoa_ah,ढः
180,ndoa,ण
181,ndoa_aa,णा
182,ndoa_i,णि
183,ndoa_ii,णी
184,ndoa_u,णु
185,ndoa_uu,णू
186,ndoa_e,णे
187,ndoa_ai,णै
188,ndoa_o,णो
189,ndoa_au,णौ
190,ndoa_am,णं
191,ndoa_ah,णः
192,ta,त
193,ta_aa,ता
194,ta_i,ति
195,ta_ii,ती
196,ta_u,तु
197,ta_uu,तू
198,ta_e,ते
199,ta_ai,तै
200,ta_o,तो
201,ta_au,तौ
202,ta_am,तं
203,ta_ah,तः
204,tha,थ
205,tha_aa,था
206,tha_i,थि
207,tha_ii,थी
208,tha_u,थु
209,tha_uu,थू
210,tha_e,थे
211,tha_ai,थै
212,tha_o,थो
213,tha_au,थौ
214,tha_am,थं
215,tha_ah,थः
216,da,द
217,da_aa,दा
218,da_i,दि
219,da_ii,दी
220,da_u,दु
221,da_uu,दू
222,da_e,दे
223,da_ai,दै
224,da_o,दो
225,da_au,दौ
226,da_am,दं
227,da_ah,दः
228,dha,ध
229,dha_aa,धा
230,dha_i,धि
231,dha_ii,धी
232,dha_u,धु
233,dha_uu,धू
234,dha_e,धे
235,dha_ai,धै
236,dha_o,धो
237,dha_au,धौ
238,dha_am,धं
239,dha_ah,धः
240,na,न
